Pothole Severity Log
Pothole Severity: 4872.00, Level: Highly Severe
Pothole Severity: 1214.00, Level: Slightly Severe
Pothole Severity: 740.50, Level: Slightly Severe
Pothole Severity: 192.00, Level: Slightly Severe
Pothole Severity: 127.00, Level: Slightly Severe
Pothole Severity: 360.00, Level: Slightly Severe
Pothole Severity: 348.0, Level: Slightly Severe
Pothole Severity: 1556.00, Level: Moderately Severe
Pothole Severity: 320.00, Level: Slightly Severe
Pothole Severity: 189.00, Level: Slightly Severe
Pothole Severity: 505.00, Level: Slightly Severe
Pothole Severity: 113.00, Level: Slightly Severe
Pothole Severity: 3988.00, Level: Moderately Severe
Pothole Severity: 624.50, Level: Slightly Severe
Pothole Severity: 310.50, Level: Slightly Severe
Pothole Severity: 716.50, Level: Slightly Severe
Pothole Severity: 129.00, Level: Slightly Severe
Pothole Severity: 3988.0, Level: Moderately Severe
Pothole Severity: 181.00, Level: Slightly Severe
Pothole Severity: 1062.50, Level: Slightly Severe
Pothole Severity: 412.00, Level: Slightly Severe
Pothole Severity: 933.00, Level: Slightly Severe
Pothole Severity: 150.00, Level: Slightly Severe
Pothole Severity: 181.0, Level: Slightly Severe
Pothole Severity: 2090.00, Level: Moderately Severe
Pothole Severity: 596.00, Level: Slightly Severe
Pothole Severity: 1273.50, Level: Slightly Severe
Pothole Severity: 187.50, Level: Slightly Severe
Pothole Severity: 2090.0, Level: Moderately Severe
Pothole Severity: 2398.00, Level: Moderately Severe
Pothole Severity: 7480.50, Level: Dangerously Severe
Pothole Severity: 466.50, Level: Slightly Severe
Pothole Severity: 150.00, Level: Slightly Severe
Pothole Severity: 2398.0, Level: Moderately Severe
Pothole Severity: 2209.00, Level: Moderately Severe
Pothole Severity: 506.00, Level: Slightly Severe
Pothole Severity: 463.50, Level: Slightly Severe
Pothole Severity: 4648.50, Level: Highly Severe
Pothole Severity: 831.00, Level: Slightly Severe
Pothole Severity: 1513.00, Level: Moderately Severe
Pothole Severity: 4648.5, Level: Highly Severe
Pothole Severity: 6627.00, Level: Dangerously Severe
Pothole Severity: 6627.0, Level: Dangerously Severe
Pothole Severity: 1875.50, Level: Moderately Severe
Pothole Severity: 1875.5, Level: Moderately Severe
Pothole Severity: 212.50, Level: Slightly Severe
Pothole Severity: 212.5, Level: Slightly Severe
Pothole Severity: 2866.00, Level: Moderately Severe
Pothole Severity: 770.50, Level: Slightly Severe
Pothole Severity: 3574.50, Level: Moderately Severe
Pothole Severity: 770.5, Level: Slightly Severe
Pothole Severity: 5993.50, Level: Highly Severe
Pothole Severity: 190.50, Level: Slightly Severe
Pothole Severity: 5993.5, Level: Highly Severe
Pothole Severity: 4723.50, Level: Highly Severe
Pothole Severity: 165.50, Level: Slightly Severe
Pothole Severity: 206.50, Level: Slightly Severe
Pothole Severity: 4723.5, Level: Highly Severe
Pothole Severity: 5040.00, Level: Highly Severe
Pothole Severity: 673.00, Level: Slightly Severe
Pothole Severity: 155.50, Level: Slightly Severe
Pothole Severity: 5040.0, Level: Highly Severe
Pothole Severity: 980.00, Level: Slightly Severe
Pothole Severity: 201.00, Level: Slightly Severe
Pothole Severity: 2146.00, Level: Moderately Severe
Pothole Severity: 341.50, Level: Slightly Severe
Pothole Severity: 147.50, Level: Slightly Severe
Pothole Severity: 311.00, Level: Slightly Severe
Pothole Severity: 117.50, Level: Slightly Severe
Pothole Severity: 4687.50, Level: Highly Severe
Pothole Severity: 328.50, Level: Slightly Severe
Pothole Severity: 536.00, Level: Slightly Severe
Pothole Severity: 115.50, Level: Slightly Severe
Pothole Severity: 4687.5, Level: Highly Severe
Pothole Severity: 175.00, Level: Slightly Severe
Pothole Severity: 618.50, Level: Slightly Severe
Pothole Severity: 852.50, Level: Slightly Severe
Pothole Severity: 152.00, Level: Slightly Severe
Pothole Severity: 159.50, Level: Slightly Severe
Pothole Severity: 175.0, Level: Slightly Severe
Pothole Severity: 1772.50, Level: Moderately Severe
Pothole Severity: 2574.00, Level: Moderately Severe
Pothole Severity: 190.00, Level: Slightly Severe
Pothole Severity: 312.00, Level: Slightly Severe
Pothole Severity: 1772.5, Level: Moderately Severe
Pothole Severity: 4119.00, Level: Highly Severe
Pothole Severity: 238.50, Level: Slightly Severe
Pothole Severity: 370.00, Level: Slightly Severe
Pothole Severity: 2927.00, Level: Moderately Severe
Pothole Severity: 630.50, Level: Slightly Severe
Pothole Severity: 873.00, Level: Slightly Severe
Pothole Severity: 2927.0, Level: Moderately Severe
Pothole Severity: 3136.00, Level: Moderately Severe
Pothole Severity: 3250.50, Level: Moderately Severe
Pothole Severity: 3136.0, Level: Moderately Severe
Pothole Severity: 1541.00, Level: Moderately Severe
Pothole Severity: 2655.50, Level: Moderately Severe
Pothole Severity: 3756.00, Level: Moderately Severe
Pothole Severity: 8356.50, Level: Dangerously Severe
Pothole Severity: 8356.5, Level: Dangerously Severe
Pothole Severity: 1846.00, Level: Moderately Severe
Pothole Severity: 1408.00, Level: Slightly Severe
Pothole Severity: 3015.50, Level: Moderately Severe
Pothole Severity: 1623.00, Level: Moderately Severe
Pothole Severity: 164.50, Level: Slightly Severe
Pothole Severity: 139.00, Level: Slightly Severe
Pothole Severity: 3015.5, Level: Moderately Severe
Pothole Severity: 6145.50, Level: Dangerously Severe
Pothole Severity: 2442.50, Level: Moderately Severe
Pothole Severity: 475.50, Level: Slightly Severe
Pothole Severity: 166.50, Level: Slightly Severe
Pothole Severity: 138.00, Level: Slightly Severe
Pothole Severity: 392.00, Level: Slightly Severe
Pothole Severity: 6145.5, Level: Dangerously Severe
Pothole Severity: 2048.00, Level: Moderately Severe
Pothole Severity: 363.50, Level: Slightly Severe
Pothole Severity: 227.00, Level: Slightly Severe
Pothole Severity: 553.00, Level: Slightly Severe
Pothole Severity: 124.00, Level: Slightly Severe
Pothole Severity: 2576.50, Level: Moderately Severe
Pothole Severity: 458.00, Level: Slightly Severe
Pothole Severity: 256.00, Level: Slightly Severe
Pothole Severity: 603.00, Level: Slightly Severe
Pothole Severity: 124.00, Level: Slightly Severe
Pothole Severity: 2576.5, Level: Moderately Severe
Pothole Severity: 4068.00, Level: Highly Severe
Pothole Severity: 737.50, Level: Slightly Severe
Pothole Severity: 326.00, Level: Slightly Severe
Pothole Severity: 767.00, Level: Slightly Severe
Pothole Severity: 139.50, Level: Slightly Severe
Pothole Severity: 4068.0, Level: Highly Severe
Pothole Severity: 2392.50, Level: Moderately Severe
Pothole Severity: 835.00, Level: Slightly Severe
Pothole Severity: 1636.50, Level: Moderately Severe
Pothole Severity: 218.00, Level: Slightly Severe
Pothole Severity: 2392.5, Level: Moderately Severe
Pothole Severity: 2132.00, Level: Moderately Severe
Pothole Severity: 3358.50, Level: Moderately Severe
Pothole Severity: 333.00, Level: Slightly Severe
Pothole Severity: 110.00, Level: Slightly Severe
Pothole Severity: 10999.50, Level: Dangerously Severe
Pothole Severity: 561.50, Level: Slightly Severe
Pothole Severity: 186.00, Level: Slightly Severe
Pothole Severity: 10999.5, Level: Dangerously Severe
Pothole Severity: 1542.50, Level: Moderately Severe
Pothole Severity: 412.00, Level: Slightly Severe
Pothole Severity: 378.00, Level: Slightly Severe
Pothole Severity: 2715.50, Level: Moderately Severe
Pothole Severity: 585.00, Level: Slightly Severe
Pothole Severity: 525.50, Level: Slightly Severe
Pothole Severity: 1709.50, Level: Moderately Severe
Pothole Severity: 1874.00, Level: Moderately Severe
Pothole Severity: 1318.00, Level: Slightly Severe
Pothole Severity: 1709.5, Level: Moderately Severe
Pothole Severity: 2819.00, Level: Moderately Severe
Pothole Severity: 2819.0, Level: Moderately Severe
Pothole Severity: 77.5, Level: Slightly Severe
